"1","1","100.00000"
"1","2","9.45000"
"1","3","9.45000"
"1","4","10.37000"
"1","5","9.58000"
"1","6","7.87000"
"1","7","8.40000"
"1","8","9.19000"
"1","9","8.53000"
"1","10","10.76000"
"1","11","7.22000"
"1","12","7.09000"
"2","2","100.00000"
"2","3","10.03000"
"2","4","10.47000"
"2","5","8.70000"
"2","6","8.26000"
"2","7","9.59000"
"2","8","9.88000"
"2","9","10.32000"
"2","10","9.29000"
"2","11","8.55000"
"2","12","6.93000"
"3","3","100.00000"
"3","4","8.35000"
"3","5","7.05000"
"3","6","8.63000"
"3","7","9.50000"
"3","8","8.20000"
"3","9","9.35000"
"3","10","8.78000"
"3","11","7.48000"
"3","12","9.21000"
"4","4","100.00000"
"4","5","8.29000"
"4","6","8.92000"
"4","7","7.20000"
"4","8","6.89000"
"4","9","7.51000"
"4","10","6.26000"
"4","11","9.39000"
"4","12","10.17000"
"5","5","100.00000"
"5","6","7.34000"
"5","7","11.80000"
"5","8","7.50000"
"5","9","7.97000"
"5","10","6.86000"
"5","11","9.25000"
"5","12","8.61000"
"6","6","100.00000"
"6","7","9.09000"
"6","8","8.61000"
"6","9","9.09000"
"6","10","9.41000"
"6","11","9.41000"
"6","12","8.45000"
"7","7","100.00000"
"7","8","8.60000"
"7","9","8.60000"
"7","10","9.09000"
"7","11","8.76000"
"7","12","7.27000"
"8","8","100.00000"
"8","9","8.09000"
"8","10","10.67000"
"8","11","10.50000"
"8","12","8.95000"
"9","9","100.00000"
"9","10","9.02000"
"9","11","7.92000"
"9","12","7.18000"
"10","10","100.00000"
"10","11","7.16000"
"10","12","6.97000"
"11","11","100.00000"
"11","12","8.38000"
"12","12","100.00000"
"1","1","100.00000"
"1","2","9.44880"
"1","3","9.44880"
"1","4","10.36750"
"1","5","9.58010"
"1","6","7.87400"
"1","7","8.39900"
"1","8","9.18640"
"1","9","8.53020"
"1","10","10.76120"
"1","11","7.21780"
"1","12","7.08660"
"2","2","100.00000"
"2","3","10.02950"
"2","4","10.47200"
"2","5","8.70210"
"2","6","8.25960"
"2","7","9.58700"
"2","8","9.88200"
"2","9","10.32450"
"2","10","9.29200"
"2","11","8.55460"
"2","12","6.93220"
"3","3","100.00000"
"3","4","8.34530"
"3","5","7.05040"
"3","6","8.63310"
"3","7","9.49640"
"3","8","8.20140"
"3","9","9.35250"
"3","10","8.77700"
"3","11","7.48200"
"3","12","9.20860"
"4","4","100.00000"
"4","5","8.29420"
"4","6","8.92020"
"4","7","7.19870"
"4","8","6.88580"
"4","9","7.51170"
"4","10","6.25980"
"4","11","9.38970"
"4","12","10.17210"
"5","5","100.00000"
"5","6","7.33650"
"5","7","11.80220"
"5","8","7.49600"
"5","9","7.97450"
"5","10","6.85810"
"5","11","9.25040"
"5","12","8.61240"
"6","6","100.00000"
"6","7","9.09090"
"6","8","8.61240"
"6","9","9.09090"
"6","10","9.40990"
"6","11","9.40990"
"6","12","8.45300"
"7","7","100.00000"
"7","8","8.59500"
"7","9","8.59500"
"7","10","9.09090"
"7","11","8.76030"
"7","12","7.27270"
"8","8","100.00000"
"8","9","8.08950"
"8","10","10.67130"
"8","11","10.49910"
"8","12","8.95010"
"9","9","100.00000"
"9","10","9.02390"
"9","11","7.91900"
"9","12","7.18230"
"10","10","100.00000"
"10","11","7.15600"
"10","12","6.97250"
"11","11","100.00000"
"11","12","8.38320"
"12","12","100.00000"
"1","1","100.00000"
"1","2","9.44882"
"1","3","9.44882"
"1","4","10.36745"
"1","5","9.58005"
"1","6","7.87402"
"1","7","8.39895"
"1","8","9.18635"
"1","9","8.53018"
"1","10","10.76115"
"1","11","7.21785"
"1","12","7.08661"
"2","2","100.00000"
"2","3","10.02950"
"2","4","10.47198"
"2","5","8.70206"
"2","6","8.25959"
"2","7","9.58702"
"2","8","9.88201"
"2","9","10.32448"
"2","10","9.29204"
"2","11","8.55457"
"2","12","6.93215"
"3","3","100.00000"
"3","4","8.34532"
"3","5","7.05036"
"3","6","8.63309"
"3","7","9.49640"
"3","8","8.20144"
"3","9","9.35252"
"3","10","8.77698"
"3","11","7.48201"
"3","12","9.20863"
"4","4","100.00000"
"4","5","8.29421"
"4","6","8.92019"
"4","7","7.19875"
"4","8","6.88576"
"4","9","7.51174"
"4","10","6.25978"
"4","11","9.38967"
"4","12","10.17214"
"5","5","100.00000"
"5","6","7.33652"
"5","7","11.80223"
"5","8","7.49601"
"5","9","7.97448"
"5","10","6.85805"
"5","11","9.25040"
"5","12","8.61244"
"6","6","100.00000"
"6","7","9.09091"
"6","8","8.61244"
"6","9","9.09091"
"6","10","9.40989"
"6","11","9.40989"
"6","12","8.45295"
"7","7","100.00000"
"7","8","8.59504"
"7","9","8.59504"
"7","10","9.09091"
"7","11","8.76033"
"7","12","7.27273"
"8","8","100.00000"
"8","9","8.08950"
"8","10","10.67126"
"8","11","10.49914"
"8","12","8.95009"
"9","9","100.00000"
"9","10","9.02394"
"9","11","7.91897"
"9","12","7.18232"
"10","10","100.00000"
"10","11","7.15596"
"10","12","6.97248"
"11","11","100.00000"
"11","12","8.38323"
"12","12","100.00000"
